Time,X,Y,Z,Xvel,YVel,ZVel,XAc,YAc,ZAc
2017-10-14 00:00:00,-687972738,-435146345,17201259,6.832,-10.434,-0.109,0,0,0
2017-10-14 00:00:00,-687948140.6069487,-435183906.0132625,17200866.545174584,6.832609180919383,-10.433614795140869,-0.10901522928253692,1.6921692205088178e-07,1.0700134975828792e-07,-4.2303562602558765e-09
2017-10-14 01:00:00,-687923541.0209187,-435221465.6396642,17200474.035524856,6.833218341672557,-10.433229556009522,-0.10903045825783145,1.6921132032611045e-07,1.0701086981889619e-07,-4.23027091514823e-09
2017-10-14 02:00:00,-687898939.2419826,-435259023.87908155,17200081.471051924,6.833827482257744,-10.432844282606831,-0.10904568692584019,1.6920571810754335e-07,1.0702038963607613e-07,-4.2301855579825585e-09
2017-10-14 03:00:00,-687874335.270213,-435296580.7313913,17199688.851756893,6.834436602673167,-10.432458974933676,-0.10906091528651972,1.6920011539518507e-07,1.070299092098069e-07,-4.230100188758883e-09
2017-10-14 04:00:00,-687849729.1056825,-435334136.1964701,17199296.17764087,6.835045702917047,-10.432073632990932,-0.10907614333982664,1.691945121890404e-07,1.0703942854006769e-07,-4.230014807477224e-09
2017-10-14 05:00:00,-687825120.7484637,-435371690.2741945,17198903.44870496,6.835654782987608,-10.431688256779475,-0.10909137108571754,1.6918890848911404e-07,1.0704894762683796e-07,-4.229929414137607e-09
2017-10-14 06:00:00,-687800510.1986294,-435409242.9644412,17198510.664950274,6.8362638428830715,-10.431302846300182,-0.109106598524149,1.6918330429541077e-07,1.0705846647009683e-07,-4.229844008740047e-09
2017-10-14 07:00:00,-687775897.456252,-435446794.2670868,17198117.826377917,6.83687288260166,-10.43091740155393,-0.10912182565507762,1.6917769960793535e-07,1.0706798506982363e-07,-4.2297585912845724e-09
2017-10-14 08:00:00,-687751282.5214043,-435484344.18200797,17197724.932988994,6.837481902141596,-10.430531922541597,-0.10913705247846,1.691720944266925e-07,1.0707750342599763e-07,-4.229673161771205e-09
2017-10-14 09:00:00,-687726665.3941588,-435521892.7090813,17197331.984784614,6.8380909015011015,-10.430146409264058,-0.10915227899425273,1.6916648875168683e-07,1.07087021538598e-07,-4.229587720199959e-09
2017-10-14 10:00:00,-687702046.0745884,-435559439.8481835,17196938.981765885,6.8386998806784005,-10.42976086172219,-0.10916750520241238,1.691608825829235e-07,1.0709653940760426e-07,-4.22950226657087e-09
2017-10-14 11:00:00,-687677424.5627656,-435596985.5991912,17196545.923933916,6.839308839671714,-10.429375279916872,-0.10918273110289556,1.6915527592040696e-07,1.071060570329954e-07,-4.2294168008839466e-09
2017-10-14 12:00:00,-687652800.8587631,-435634529.96198106,17196152.81128981,6.839917778479265,-10.428989663848979,-0.10919795669565886,1.6914966876414197e-07,1.0711557441475087e-07,-4.229331323139219e-09
2017-10-14 13:00:00,-687628174.9626535,-435672072.93642974,17195759.64383468,6.840526697099276,-10.428604013519388,-0.10921318198065888,1.691440611141332e-07,1.0712509155284979e-07,-4.229245833336705e-09
2017-10-14 14:00:00,-687603546.8745096,-435709614.5224139,17195366.42156963,6.841135595529969,-10.428218328928978,-0.1092284069578522,1.6913845297038555e-07,1.071346084472715e-07,-4.2291603314764276e-09
2017-10-14 15:00:00,-687578916.594404,-435747154.7198102,17194973.144495774,6.841744473769567,-10.427832610078624,-0.10924363162719541,1.6913284433290377e-07,1.0714412509799532e-07,-4.229074817558409e-09
2017-10-14 16:00:00,-687554284.1224095,-435784693.52849525,17194579.812614214,6.842353331816293,-10.427446856969206,-0.10925885598864511,1.6912723520169253e-07,1.0715364150500045e-07,-4.228989291582674e-09
2017-10-14 17:00:00,-687529649.4585986,-435822230.94834584,17194186.425926063,6.842962169668369,-10.427061069601601,-0.10927408004215788,1.6912162557675666e-07,1.0716315766826615e-07,-4.2289037535492386e-09
2017-10-14 18:00:00,-687505012.6030443,-435859766.97923857,17193792.98443243,6.843570987324019,-10.426675247976686,-0.10928930378769033,1.6911601545810071e-07,1.0717267358777164e-07,-4.228818203458129e-09
2017-10-14 19:00:00,-687480373.555819,-435897301.6210501,17193399.488134418,6.844179784781463,-10.426289392095336,-0.10930452722519905,1.6911040484572967e-07,1.0718218926349628e-07,-4.228732641309367e-09
2017-10-14 20:00:00,-687455732.3169957,-435934834.87365717,17193005.93703314,6.844788562038926,-10.425903501958432,-0.10931975035464063,1.6910479373964822e-07,1.0719170469541923e-07,-4.228647067102974e-09
2017-10-14 21:00:00,-687431088.886647,-435972366.7369364,17192612.331129707,6.845397319094629,-10.425517577566852,-0.10933497317597166,1.690991821398609e-07,1.072012198835198e-07,-4.228561480838967e-09
2017-10-14 22:00:00,-687406443.2648456,-436009897.2107645,17192218.670425225,6.846006055946796,-10.425131618921473,-0.10935019568914872,1.69093570046373e-07,1.0721073482777738e-07,-4.228475882517383e-09
2017-10-14 23:00:00,-687381795.4516643,-436047426.2950182,17191824.954920806,6.846614772593648,-10.42474562602317,-0.10936541789412842,1.690879574591886e-07,1.0722024952817095e-07,-4.228390272138225e-09
2017-10-15 00:00:00,-687357145.4471759,-436084953.98957413,17191431.18461756,6.84722346903341,-10.424359598872826,-0.10938063979086735,1.6908234437831277e-07,1.0722976398467987e-07,-4.228304649701526e-09
2017-10-15 01:00:00,-687332493.2514529,-436122480.294309,17191037.359516595,6.847832145264303,-10.423973537471316,-0.1093958613793221,1.6907673080375028e-07,1.072392781972835e-07,-4.228219015207309e-09
2017-10-15 02:00:00,-687307838.8645684,-436160005.2090996,17190643.47961902,6.848440801284551,-10.423587441819517,-0.10941108265944925,1.6907111673550588e-07,1.0724879216596108e-07,-4.2281333686555915e-09
2017-10-15 03:00:00,-687283182.2865949,-436197528.7338225,17190249.544925947,6.849049437092376,-10.42320131191831,-0.10942630363120542,1.6906550217358416e-07,1.0725830589069171e-07,-4.228047710046394e-09
2017-10-15 04:00:00,-687258523.5176052,-436235050.8683545,17189855.555438485,6.849658052686,-10.422815147768572,-0.10944152429454719,1.6905988711799015e-07,1.072678193714548e-07,-4.2279620393797456e-09
2017-10-15 05:00:00,-687233862.5576721,-436272571.61257225,17189461.511157747,6.850266648063648,-10.422428949371183,-0.10945674464943116,1.690542715687283e-07,1.0727733260822964e-07,-4.227876356655663e-09
2017-10-15 06:00:00,-687209199.4068686,-436310090.96635246,17189067.412084844,6.85087522322354,-10.422042716727018,-0.1094719646958139,1.6904865552580363e-07,1.0728684560099531e-07,-4.227790661874171e-09
2017-10-15 07:00:00,-687184534.0652672,-436347608.92957187,17188673.25822088,6.851483778163901,-10.42165644983696,-0.10948718443365202,1.6904303898922076e-07,1.0729635834973118e-07,-4.2277049550352925e-09
2017-10-15 08:00:00,-687159866.5329409,-436385125.5021072,17188279.049566973,6.852092312882954,-10.421270148701883,-0.10950240386290212,1.690374219589844e-07,1.0730587085441653e-07,-4.227619236139048e-09
2017-10-15 09:00:00,-687135196.8099623,-436422640.68383515,17187884.786124233,6.8527008273789205,-10.420883813322668,-0.10951762298352079,1.6903180443509923e-07,1.0731538311503043e-07,-4.227533505185455e-09
2017-10-15 10:00:00,-687110524.8964044,-436460154.47463244,17187490.467893768,6.853309321650023,-10.420497443700194,-0.10953284179546462,1.6902618641757026e-07,1.0732489513155231e-07,-4.2274477621745435e-09
2017-10-15 11:00:00,-687085850.7923399,-436497666.8743758,17187096.09487669,6.853917795694486,-10.420111039835339,-0.1095480602986902,1.6902056790640192e-07,1.0733440690396136e-07,-4.22736200710633e-09
2017-10-15 12:00:00,-687061174.4978417,-436535177.882942,17186701.667074118,6.854526249510532,-10.419724601728984,-0.10956327849315413,1.6901494890159942e-07,1.0734391843223693e-07,-4.227276239980845e-09
2017-10-15 13:00:00,-687036496.0129826,-436572687.5002078,17186307.184487153,6.8551346830963835,-10.419338129382005,-0.109578496378813,1.6900932940316685e-07,1.0735342971635795e-07,-4.2271904607980975e-09
2017-10-15 14:00:00,-687011815.3378354,-436610195.72604984,17185912.647116914,6.855743096450263,-10.418951622795282,-0.10959371395562341,1.6900370941110964e-07,1.0736294075630409e-07,-4.227104669558123e-09
2017-10-15 15:00:00,-686987132.472473,-436647702.56034493,17185518.05496451,6.856351489570395,-10.418565081969694,-0.10960893122354194,1.6899808892543206e-07,1.0737245155205424e-07,-4.227018866260934e-09
2017-10-15 16:00:00,-686962447.4169682,-436685208.0029698,17185123.40803105,6.856959862455001,-10.418178506906122,-0.10962414818252521,1.6899246794613896e-07,1.073819621035878e-07,-4.2269330509065525e-09
2017-10-15 17:00:00,-686937760.1713939,-436722712.0538012,17184728.706317652,6.857568215102305,-10.417791897605442,-0.10963936483252978,1.6898684647323538e-07,1.0739147241088413e-07,-4.226847223495014e-09
2017-10-15 18:00:00,-686913070.7358228,-436760214.7127158,17184333.94982543,6.85817654751053,-10.417405254068536,-0.10965458117351227,1.6898122450672556e-07,1.0740098247392225e-07,-4.226761384026324e-09
2017-10-15 19:00:00,-686888379.110328,-436797715.9795905,17183939.13855549,6.858784859677898,-10.417018576296282,-0.10966979720542927,1.6897560204661463e-07,1.0741049229268153e-07,-4.226675532500515e-09
2017-10-15 20:00:00,-686863685.2949822,-436835215.8543019,17183544.27250895,6.8593931516026325,-10.416631864289561,-0.10968501292823737,1.6896997909290738e-07,1.074200018671412e-07,-4.226589668917607e-09
2017-10-15 21:00:00,-686838989.2898583,-436872714.3367269,17183149.351686917,6.860001423282957,-10.41624511804925,-0.10970022834189318,1.689643556456083e-07,1.0742951119728053e-07,-4.226503793277622e-09
2017-10-15 22:00:00,-686814291.0950294,-436910211.4267422,17182754.37609051,6.860609674717094,-10.415858337576232,-0.10971544344635327,1.6895873170472218e-07,1.074390202830786e-07,-4.226417905580577e-09
2017-10-15 23:00:00,-686789590.7105681,-436947707.12422454,17182359.345720842,6.861217905903267,-10.415471522871384,-0.10973065824157424,1.6895310727025402e-07,1.0744852912451483e-07,-4.226332005826503e-09
2017-10-16 00:00:00,-686764888.1365474,-436985201.4290507,17181964.260579024,6.861826116839699,-10.415084673935587,-0.1097458727275127,1.689474823422084e-07,1.0745803772156847e-07,-4.2262460940154185e-09
2017-10-16 01:00:00,-686740183.3730403,-437022694.3410975,17181569.12066617,6.862434307524612,-10.41469779076972,-0.10976108690412523,1.6894185692058988e-07,1.0746754607421851e-07,-4.226160170147342e-09
2017-10-16 02:00:00,-686715476.4201196,-437060185.86024165,17181173.92598339,6.863042477956232,-10.414310873374664,-0.10977630077136842,1.6893623100540364e-07,1.0747705418244454e-07,-4.226074234222306e-09
2017-10-16 03:00:00,-686690767.2778584,-437097675.98635995,17180778.676531807,6.86365062813278,-10.413923921751298,-0.10979151432919888,1.6893060459665407e-07,1.0748656204622554e-07,-4.225988286240323e-09
2017-10-16 04:00:00,-686666055.9463294,-437135164.7193292,17180383.372312527,6.86425875805248,-10.413536935900503,-0.1098067275775732,1.6892497769434606e-07,1.0749606966554085e-07,-4.22590232620142e-09
2017-10-16 05:00:00,-686641342.4256055,-437172652.0590261,17179988.013326667,6.8648668677135545,-10.413149915823157,-0.10982194051644799,1.6891935029848428e-07,1.0750557704036967e-07,-4.225816354105617e-09
2017-10-16 06:00:00,-686616626.7157599,-437210138.0053276,17179592.59957534,6.865474957114227,-10.412762861520141,-0.10983715314577983,1.6891372240907358e-07,1.0751508417069112e-07,-4.225730369952935e-09
2017-10-16 07:00:00,-686591908.8168653,-437247622.55811036,17179197.131059665,6.866083026252721,-10.412375772992338,-0.1098523654655253,1.689080940261188e-07,1.0752459105648479e-07,-4.225644373743404e-09
2017-10-16 08:00:00,-686567188.7289948,-437285105.71725124,17178801.607780755,6.866691075127259,-10.411988650240625,-0.10986757747564102,1.689024651496244e-07,1.0753409769772956e-07,-4.225558365477039e-09
2017-10-16 09:00:00,-686542466.4522214,-437322587.482627,17178406.02973972,6.867299103736066,-10.411601493265884,-0.10988278917608357,1.688968357795954e-07,1.0754360409440477e-07,-4.225472345153864e-09
2017-10-16 10:00:00,-686517741.9866179,-437360067.8541144,17178010.39693768,6.867907112077364,-10.411214302068997,-0.10989800056680955,1.6889120591603633e-07,1.0755311024648966e-07,-4.2253863127739025e-09
2017-10-16 11:00:00,-686493015.3322574,-437397546.83159035,17177614.709375747,6.868515100149376,-10.410827076650843,-0.10991321164777557,1.6888557555895213e-07,1.0756261615396349e-07,-4.225300268337177e-09
2017-10-16 12:00:00,-686468286.4892128,-437435024.4149316,17177218.967055038,6.869123067950326,-10.410439817012303,-0.1099284224189382,1.6887994470834742e-07,1.0757212181680538e-07,-4.2252142118437054e-09
2017-10-16 13:00:00,-686443555.4575571,-437472500.60401493,17176823.16997667,6.869731015478438,-10.410052523154258,-0.10994363288025406,1.6887431336422703e-07,1.0758162723499472e-07,-4.2251281432935175e-09
2017-10-16 14:00:00,-686418822.2373632,-437509975.3987172,17176427.318141755,6.870338942731934,-10.409665195077586,-0.10995884303167973,1.688686815265957e-07,1.0759113240851067e-07,-4.225042062686634e-09
2017-10-16 15:00:00,-686394086.8287042,-437547448.79891527,17176031.411551412,6.870946849709037,-10.409277832783172,-0.10997405287317182,1.688630491954581e-07,1.0760063733733236e-07,-4.224955970023072e-09
2017-10-16 16:00:00,-686369349.2316532,-437584920.80448586,17175635.450206757,6.8715547364079725,-10.408890436271895,-0.1099892624046869,1.688574163708192e-07,1.0761014202143923e-07,-4.224869865302861e-09
2017-10-16 17:00:00,-686344609.446283,-437622391.4153058,17175239.4341089,6.872162602826962,-10.408503005544636,-0.1100044716261816,1.6885178305268345e-07,1.0761964646081027e-07,-4.224783748526019e-09
2017-10-16 18:00:00,-686319867.4726667,-437659860.631252,17174843.363258965,6.872770448964229,-10.408115540602276,-0.11001968053761249,1.688461492410558e-07,1.0762915065542486e-07,-4.224697619692571e-09
2017-10-16 19:00:00,-686295123.3108774,-437697328.4522012,17174447.237658065,6.873378274817998,-10.407728041445697,-0.11003488913893618,1.6884051493594095e-07,1.0763865460526217e-07,-4.224611478802536e-09
2017-10-16 20:00:00,-686270376.960988,-437734794.87803024,17174051.057307318,6.8739860803864925,-10.40734050807578,-0.11005009743010927,1.688348801373437e-07,1.0764815831030147e-07,-4.22452532585594e-09
2017-10-16 21:00:00,-686245628.4230716,-437772259.908616,17173654.82220784,6.8745938656679355,-10.406952940493406,-0.11006530541108833,1.688292448452686e-07,1.0765766177052182e-07,-4.224439160852803e-09
2017-10-16 22:00:00,-686220877.6972013,-437809723.54383534,17173258.532360744,6.87520163066055,-10.406565338699457,-0.11008051308182999,1.6882360905972068e-07,1.0766716498590268e-07,-4.2243529837931515e-09
