Time,X,Y,Z,Xvel,YVel,ZVel,XAc,YAc,ZAc
2017-10-14 00:00:00,-232221048,90134689,7587936,-7.859033317296808,-20.51785238310983,-0.2370875083210473,0,0,0
2017-10-14 00:00:00,-232249314.7086377,90060814.7094097,7587081.641555407,-7.851863510476366,-20.52063627508455,-0.23732179016462476,1.9916130056783796e-06,-7.733033263110713e-07,-6.507828988262871e-08
2017-10-14 01:00:00,-232277555.60270703,89986930.4049721,7586226.439787177,-7.844692797030961,-20.523417899330397,-0.23755604673040806,1.991864845945841e-06,-7.726734016249341e-07,-6.507126827313685e-08
2017-10-14 02:00:00,-232305770.6789461,89913036.09485193,7585370.394786379,-7.837521177525247,-20.526197255603588,-0.23779027799943164,1.9921165293648443e-06,-7.720434092201434e-07,-6.506424139544206e-08
2017-10-14 03:00:00,-232333959.9340952,89839131.78721476,7584513.506644149,-7.8303486525239085,-20.52897434366037,-0.23802448395273001,1.9923680559273215e-06,-7.714133491061258e-07,-6.505720924954938e-08
2017-10-14 04:00:00,-232362123.36489654,89765217.49022703,7583655.775451693,-7.823175222591658,-20.53174916325702,-0.23825866457133768,1.9926194256251788e-06,-7.707832212922984e-07,-6.505017183546292e-08
2017-10-14 05:00:00,-232390260.96809438,89691293.21205609,7582797.201300282,-7.816000888293237,-20.534521714149857,-0.23849281983628914,1.9928706384503103e-06,-7.701530257880751e-07,-6.504312915318644e-08
2017-10-14 06:00:00,-232418372.74043506,89617358.96087015,7581937.784281259,-7.808825650193416,-20.537291996095227,-0.23872694972861894,1.993121694394582e-06,-7.695227626028602e-07,-6.503608120272291e-08
2017-10-14 07:00:00,-232446458.67866695,89543414.74483828,7581077.524486033,-7.801649508856997,-20.54006000884951,-0.2389610542293616,1.9933725934498387e-06,-7.688924317460524e-07,-6.502902798407449e-08
2017-10-14 08:00:00,-232474518.77954042,89469460.57213047,7580216.422006083,-7.794472464848808,-20.54282575216913,-0.23919513331955167,1.993623335607905e-06,-7.682620332270424e-07,-6.502196949724281e-08
2017-10-14 09:00:00,-232502553.03980786,89395496.45091756,7579354.476932954,-7.78729451873371,-20.545589225810527,-0.2394291869802237,1.9938739208605862e-06,-7.676315670552158e-07,-6.501490574222892e-08
2017-10-14 10:00:00,-232530561.45622373,89321522.38937125,7578491.689358261,-7.780115671076592,-20.548350429530192,-0.2396632151924122,1.99412434919966e-06,-7.6700103323995e-07,-6.500783671903292e-08
2017-10-14 11:00:00,-232558544.02554452,89247538.39566414,7577628.059373688,-7.772935922442371,-20.551109363084638,-0.23989721793715177,1.994374620616892e-06,-7.663704317906164e-07,-6.500076242765461e-08
2017-10-14 12:00:00,-232586500.74452874,89173544.4779697,7576763.587070984,-7.765755273395996,-20.553866026230416,-0.2401311951954769,1.9946247351040143e-06,-7.657397627165789e-07,-6.499368286809276e-08
2017-10-14 13:00:00,-232614431.60993695,89099540.6444623,7575898.272541969,-7.758573724502446,-20.556620418724115,-0.24036514694842215,1.99487469265275e-06,-7.651090260271959e-07,-6.49865980403458e-08
2017-10-14 14:00:00,-232642336.61853173,89025526.90331714,7575032.115878532,-7.7513912763267285,-20.55937254032235,-0.24059907317702203,1.9951244932547896e-06,-7.644782217318174e-07,-6.497950794441122e-08
2017-10-14 15:00:00,-232670215.76707768,88951503.26271032,7574165.117172628,-7.744207929433882,-20.562122390781774,-0.24083297386231106,1.99537413690181e-06,-7.63847349839788e-07,-6.497241258028599e-08
2017-10-14 16:00:00,-232698069.0523415,88877469.73081882,7573297.27651628,-7.737023684388975,-20.56486996985907,-0.24106684898532374,1.995623623585463e-06,-7.632164103604452e-07,-6.496531194796636e-08
2017-10-14 17:00:00,-232725896.4710918,88803426.3158205,7572428.594001583,-7.729838541757104,-20.567615277310964,-0.24130069852709454,1.9958729532973787e-06,-7.6258540330312e-07,-6.495820604744795e-08
2017-10-14 18:00:00,-232753698.02009937,88729373.02589408,7571559.069720696,-7.722652502103399,-20.5703583128942,-0.24153452246865795,1.996122126029169e-06,-7.619543286771368e-07,-6.495109487872582e-08
2017-10-14 19:00:00,-232781473.69613695,88655309.86921915,7570688.703765848,-7.715465565993018,-20.57309907636557,-0.2417683207910484,1.996371141772418e-06,-7.613231864918122e-07,-6.4943978441794e-08
2017-10-14 20:00:00,-232809223.4959793,88581236.85397622,7569817.496229337,-7.70827773399115,-20.57583756748189,-0.24200209347530033,1.996620000518696e-06,-7.606919767564582e-07,-6.493685673664637e-08
2017-10-14 21:00:00,-232836947.4164033,88507153.98834662,7568945.447203528,-7.7010890066630155,-20.57857378600002,-0.24223584050244812,1.9968687022595445e-06,-7.600606994803781e-07,-6.492972976327564e-08
2017-10-14 22:00:00,-232864645.45418775,88433061.28051259,7568072.556780855,-7.693899384573864,-20.581307731676844,-0.24246956185352614,1.997117246986486e-06,-7.594293546728699e-07,-6.492259752167412e-08
2017-10-14 23:00:00,-232892317.60611358,88358958.73865722,7567198.82505382,-7.686708868288977,-20.58403940426928,-0.24270325750956873,1.9973656346910266e-06,-7.587979423432255e-07,-6.49154600118335e-08
2017-10-15 00:00:00,-232919963.86896372,88284846.3709645,7566324.252114994,-7.679517458373664,-20.586768803534284,-0.24293692745161022,1.9976138653646442e-06,-7.581664625007297e-07,-6.490831723374475e-08
2017-10-15 01:00:00,-232947584.23952314,88210724.18561928,7565448.838057016,-7.672325155393269,-20.58949592922884,-0.24317057166068484,1.997861938998798e-06,-7.575349151546591e-07,-6.490116918739808e-08
2017-10-15 02:00:00,-232975178.71457884,88136592.19080728,7564572.582972592,-7.665131959913163,-20.59222078110997,-0.24340419011782685,1.9981098555849206e-06,-7.569033003142858e-07,-6.489401587278299e-08
2017-10-15 03:00:00,-233002747.29091984,88062450.39471512,7563695.486954497,-7.657937872498751,-20.594943358934728,-0.24363778280407045,1.9983576151144315e-06,-7.562716179888755e-07,-6.488685728988856e-08
2017-10-15 04:00:00,-233030289.96533722,87988298.80553026,7562817.550095576,-7.650742893715468,-20.597663662460203,-0.24387134970044977,1.9986052175787264e-06,-7.556398681876872e-07,-6.487969343870311e-08
2017-10-15 05:00:00,-233057806.7346241,87914137.43144107,7561938.772488739,-7.643547024128779,-20.600381691443516,-0.24410489078799893,1.9988526629691726e-06,-7.550080509199715e-07,-6.487252431921409e-08
2017-10-15 06:00:00,-233085297.59557557,87839966.28063676,7561059.154226967,-7.636350264304181,-20.60309744564182,-0.244338406047752,1.9990999512771233e-06,-7.543761661949753e-07,-6.486534993140856e-08
2017-10-15 07:00:00,-233112762.54498887,87765785.36130743,7560178.695403309,-7.629152614807204,-20.605810924812296,-0.24457189546074298,1.9993470824939112e-06,-7.537442140219386e-07,-6.485817027527286e-08
2017-10-15 08:00:00,-233140201.57966322,87691594.68164407,7559297.39611088,-7.621954076203405,-20.608522128712174,-0.24480535900800585,1.9995940566108356e-06,-7.531121944100922e-07,-6.485098535079244e-08
2017-10-15 09:00:00,-233167614.69639984,87617394.24983852,7558415.256442866,-7.614754649058376,-20.611231057098703,-0.2450387966705745,1.999840873619188e-06,-7.524801073686639e-07,-6.484379515795234e-08
2017-10-15 10:00:00,-233195001.89200202,87543184.07408349,7557532.27649252,-7.607554333937739,-20.613937709729168,-0.24527220842948275,2.0000875335102307e-06,-7.518479529068735e-07,-6.483659969673677e-08
2017-10-15 11:00:00,-233222363.1632751,87468964.16257259,7556648.456353163,-7.600353131407148,-20.61664208636089,-0.2455055942657644,2.0003340362752073e-06,-7.512157310339346e-07,-6.482939896712945e-08
2017-10-15 12:00:00,-233249698.5070264,87394734.5235003,7555763.796118186,-7.593151042032289,-20.619344186751224,-0.24573895416045322,2.000580381905339e-06,-7.505834417590558e-07,-6.482219296911332e-08
2017-10-15 13:00:00,-233277007.92006537,87320495.16506192,7554878.295881045,-7.5859480663788785,-20.622044010657554,-0.24597228809458282,2.000826570391824e-06,-7.499510850914368e-07,-6.481498170267063e-08
2017-10-15 14:00:00,-233304291.39920342,87246246.09545371,7553991.955735268,-7.578744205012666,-20.6247415578373,-0.24620559604918685,2.0010726017258414e-06,-7.49318661040273e-07,-6.480776516778299e-08
2017-10-15 15:00:00,-233331548.94125402,87171987.32287274,7553104.775774449,-7.571539458499431,-20.627436828047912,-0.2464388780052988,2.001318475898548e-06,-7.486861696147536e-07,-6.480054336443146e-08
2017-10-15 16:00:00,-233358780.54303268,87097718.85551697,7552216.756092251,-7.564333827404987,-20.63012982104688,-0.24667213394395213,2.0015641929010734e-06,-7.480536108240588e-07,-6.479331629259611e-08
2017-10-15 17:00:00,-233385986.20135695,87023440.70158523,7551327.896782405,-7.5571273122951785,-20.632820536591716,-0.24690536384618025,2.0018097527245383e-06,-7.474209846773672e-07,-6.478608395225688e-08
2017-10-15 18:00:00,-233413165.9130464,86949152.86927725,7550438.1979387095,-7.549919913735883,-20.63550897443998,-0.24713856769301645,2.0020551553600283e-06,-7.467882911838468e-07,-6.47788463433925e-08
2017-10-15 19:00:00,-233440319.67492265,86874855.3667936,7549547.659655034,-7.542711632293008,-20.63819513434925,-0.24737174546549398,2.0023004007986145e-06,-7.461555303526619e-07,-6.477160346598135e-08
2017-10-15 20:00:00,-233467447.48380935,86800548.20233573,7548656.282025313,-7.535502468532495,-20.640879016077143,-0.24760489714464598,2.0025454890313453e-06,-7.455227021929699e-07,-6.476435532000105e-08
2017-10-15 21:00:00,-233494549.33653224,86726231.38410595,7547764.065143552,-7.528292423020318,-20.643560619381315,-0.2478380227115055,2.002790420049246e-06,-7.448898067139216e-07,-6.475710190542861e-08
2017-10-15 22:00:00,-233521625.229919,86651904.92030749,7546871.0091038225,-7.521081496322482,-20.646239944019445,-0.24807112214710558,2.003035193843322e-06,-7.442568439246628e-07,-6.474984322224032e-08
2017-10-15 23:00:00,-233548675.1607994,86577568.81914438,7545977.1140002655,-7.513869689005026,-20.64891698974925,-0.24830419543247906,2.003279810404557e-06,-7.436238138343321e-07,-6.474257927041183e-08
2017-10-16 00:00:00,-233575699.1260053,86503223.0888216,7545082.37992709,-7.50665700163402,-20.651591756328475,-0.24853724254865878,2.0035242697239097e-06,-7.429907164520612e-07,-6.473531004991806e-08
2017-10-16 01:00:00,-233602697.12237048,86428867.73754495,7544186.806978574,-7.499443434775567,-20.65426424351491,-0.2487702634766774,2.003768571792323e-06,-7.423575517869784e-07,-6.472803556073342e-08
2017-10-16 02:00:00,-233629669.14673087,86354502.77352111,7543290.395249063,-7.492228988995804,-20.656934451066363,-0.2490032581975676,2.0040127166007126e-06,-7.417243198482035e-07,-6.472075580283147e-08
2017-10-16 03:00:00,-233656615.19592437,86280128.20495765,7542393.144832971,-7.4850136648609,-20.659602378740683,-0.24923622669236187,2.0042567041399765e-06,-7.410910206448514e-07,-6.471347077618527e-08
2017-10-16 04:00:00,-233683535.26679096,86205744.04006298,7541495.055824779,-7.4777974629370565,-20.662268026295752,-0.24946916894209262,2.0045005344009897e-06,-7.404576541860305e-07,-6.47061804807672e-08
2017-10-16 05:00:00,-233710429.3561726,86131350.28704642,7540596.128319039,-7.470580383790508,-20.664931393489482,-0.2497020849277922,2.0047442073746003e-06,-7.398242204808423e-07,-6.469888491654873e-08
2017-10-16 06:00:00,-233737297.46091336,86056946.95411813,7539696.362410369,-7.463362427987522,-20.66759248007982,-0.2499349746304928,2.0049877230516456e-06,-7.391907195383851e-07,-6.469158408350104e-08
2017-10-16 07:00:00,-233764139.5778593,85982534.04948917,7538795.758193457,-7.4561435960944,-20.670251285824744,-0.25016783803122655,2.0052310814229336e-06,-7.385571513677484e-07,-6.468427798159443e-08
2017-10-16 08:00:00,-233790955.70385855,85908111.58137144,7537894.315763057,-7.4489238886774745,-20.672907810482265,-0.25040067511102543,2.005474282479249e-06,-7.379235159780162e-07,-6.467696661079849e-08
2017-10-16 09:00:00,-233817745.83576125,85833679.55797772,7536992.035213994,-7.441703306303114,-20.675562053810427,-0.2506334858509213,2.005717326211359e-06,-7.372898133782672e-07,-6.466964997108228e-08
2017-10-16 10:00:00,-233844509.9704196,85759237.98752168,7536088.916641159,-7.434481849537718,-20.678214015567306,-0.250866270231946,2.0059602126100116e-06,-7.366560435775746e-07,-6.466232806241422e-08
2017-10-16 11:00:00,-233871248.1046878,85684786.87821783,7535184.960139512,-7.427259518947721,-20.68086369551101,-0.25109902823513114,2.0062029416659275e-06,-7.360222065850049e-07,-6.46550008847619e-08
2017-10-16 12:00:00,-233897960.23542216,85610326.2382816,7534280.1658040825,-7.42003631509959,-20.683511093399687,-0.2513317598415083,2.0064455133698038e-06,-7.353883024096176e-07,-6.464766843809232e-08
2017-10-16 13:00:00,-233924646.35948098,85535856.07592922,7533374.533729967,-7.412812238559825,-20.686156208991505,-0.25156446503210883,2.0066879277123243e-06,-7.34754331060469e-07,-6.464033072237193e-08
2017-10-16 14:00:00,-233951306.4737246,85461376.39937787,7532468.06401233,-7.405587289894962,-20.688799042044675,-0.2517971437879641,2.006930184684146e-06,-7.341202925466081e-07,-6.463298773756638e-08
2017-10-16 15:00:00,-233977940.57501543,85386887.21684553,7531560.756746406,-7.398361469671569,-20.691439592317433,-0.2520297960901052,2.0071722842759043e-06,-7.334861868770776e-07,-6.462563948364075e-08
2017-10-16 16:00:00,-234004548.66021788,85312388.53655109,7530652.612027495,-7.391134778456247,-20.694077859568054,-0.25226242191956316,2.0074142264782117e-06,-7.328520140609141e-07,-6.46182859605593e-08
2017-10-16 17:00:00,-234031130.7261984,85237880.36671428,7529743.629950969,-7.383907216815633,-20.69671384355484,-0.252495021257369,2.0076560112816622e-06,-7.322177741071503e-07,-6.461092716828585e-08
2017-10-16 18:00:00,-234057686.76982555,85163362.71555576,7528833.810612264,-7.376678785316396,-20.69934754403613,-0.2527275940845534,2.007897638676825e-06,-7.315834670248107e-07,-6.460356310678341e-08
2017-10-16 19:00:00,-234084216.78796983,85088835.59129699,7527923.154106888,-7.369449484525241,-20.70197896077029,-0.2529601403821471,2.0081391086542507e-06,-7.309490928229165e-07,-6.459619377601435e-08
2017-10-16 20:00:00,-234110720.77750385,85014299.00216033,7527011.660530415,-7.362219315008905,-20.704608093515727,-0.25319266013118047,2.0083804212044633e-06,-7.303146515104805e-07,-6.458881917594037e-08
2017-10-16 21:00:00,-234137198.73530224,84939752.95636901,7526099.329978489,-7.35498827733416,-20.707234942030876,-0.25342515331268395,2.008621576317974e-06,-7.296801430965128e-07,-6.458143930652265e-08
2017-10-16 22:00:00,-234163650.6582417,84865197.46214715,7525186.162546822,-7.3477563720678125,-20.7098595060742,-0.25365761990768776,2.008862573985258e-06,-7.290455675900141e-07,-6.457405416772142e-08
2017-10-16 23:00:00,-234190076.54320088,84790632.52771969,7524272.158331192,-7.340523599776704,-20.7124817854042,-0.25389005989722196,2.0091034141967834e-06,-7.284109249999825e-07,-6.456666375949659e-08
2017-10-17 00:00:00,-234216476.38706058,84716058.16131249,7523357.317427448,-7.33328996102771,-20.71510177977941,-0.25412247326231646,2.0093440969429876e-06,-7.277762153354091e-07,-6.455926808180707e-08
2017-10-17 01:00:00,-234242850.1867036,84641474.37115224,7522441.639931506,-7.3260554563877385,-20.717719488958387,-0.25435485998400104,2.0095846222142897e-06,-7.271414386052798e-07,-6.45518671346114e-08
2017-10-17 02:00:00,-234269197.93901473,84566881.16546652,7521525.12593935,-7.3188200864237345,-20.720334912699734,-0.25458722004330536,2.009824990001085e-06,-7.265065948185735e-07,-6.454446091786724e-08
2017-10-17 03:00:00,-234295519.64088085,84492278.55248377,7520607.775547033,-7.311583851702677,-20.722948050762078,-0.2548195534212589,2.0100652002937472e-06,-7.258716839842653e-07,-6.453704943153174e-08
2017-10-17 04:00:00,-234321815.2891909,84417666.54043332,7519689.588850677,-7.304346752791579,-20.72555890290408,-0.2550518600988909,2.0103052530826327e-06,-7.252367061113241e-07,-6.452963267556134e-08
2017-10-17 05:00:00,-234348084.8808358,84343045.13754533,7518770.565946471,-7.29710879025749,-20.728167468884433,-0.2552841400572306,2.0105451483580704e-06,-7.246016612087133e-07,-6.452221064991182e-08
