Time,X,Y,Z,Xvel,YVel,ZVel,XAc,YAc,ZAc
2017-10-14 00:00:00,0,0,0,0,0,0,0,0,0
2017-10-14 00:00:00,-0.0022478460230209952,-0.0013011483202707613,7.929274221969311e-05,-6.244016730613876e-07,-3.6143008896410034e-07,2.202576172769253e-08,-1.7344490918371876e-10,-1.0039724693447232e-10,6.118267146581259e-12
2017-10-14 01:00:00,-0.006743611492591077,-0.0039038786405713134,0.00023786447217155775,-1.248823741547245e-06,-7.229806445279311e-07,4.4047702764406845e-08,-1.734505745794048e-10,-1.0043070987884187e-10,6.1172058435317545e-12
2017-10-14 02:00:00,-0.013487369548739993,-0.007808624528239789,0.0004757014433709654,-1.8732661267080324e-06,-1.0846516354634653e-06,6.60658253331688e-08,-1.7345621810021868e-10,-1.0046416414875948e-10,6.116145157989432e-12
2017-10-14 03:00:00,-0.02247919304817754,-0.013015819439442789,0.0007927899172324295,-2.4977287498437632e-06,-1.4464430308897224e-06,8.808013162818447e-08,-1.7346183975992516e-10,-1.00497609840627e-10,6.115085081948798e-12
2017-10-14 04:00:00,-0.033719154564464185,-0.019525896720417952,0.001189116162965655,-3.122211532301847e-06,-1.8083548002708784e-06,1.1009062381478483e-07,-1.734674395716899e-10,-1.0053104705032112e-10,6.114025607388988e-12
2017-10-14 05:00:00,-0.04720732638817401,-0.0273392896087097,0.001664666457471394,-3.7467143954749507e-06,-2.1703869134143743e-06,1.3209730402937197e-07,-1.7347301754808437e-10,-1.0056447587319329e-10,6.112966726274208e-12
2017-10-14 06:00:00,-0.06294378052704996,-0.03645643123439819,0.0022194270852371155,-4.371237260798878e-06,-2.5325393404690266e-06,1.5410017437936703e-07,-1.7347857370109102e-10,-1.0059789640407012e-10,6.111908430554188e-12
2017-10-14 07:00:00,-0.08092858870615165,-0.0468777546213215,0.00285338433823249,-4.995780049750468e-06,-2.894812051923142e-06,1.7609923694315957e-07,-1.7348410804210848e-10,-1.0063130873725429e-10,6.110850712164595e-12
2017-10-14 08:00:00,-0.1011618223679955,-0.05860369268829097,0.0035665245158047008,-5.6203426838455135e-06,-3.257205018602631e-06,1.9809449377005858e-07,-1.734896205819569e-10,-1.0066471296652478e-10,6.109793563027503e-12
