*******************************************************************************
 Revised: September 30, 2021           Uranus                               799
 
 PHYSICAL DATA:
  Mass x10^24 (kg)      = 86.813          Density (g/cm^3)       =  1.271
  Equat. radius (1 bar) = 25559+-4 km     Polar radius (km)      = 24973+-20
  Vol. Mean Radius (km) = 25362+-12       Flattening             =  0.02293
  Geometric Albedo      = 0.51
  Sid. rot. period (III)= 17.24+-0.01 h   Sid. rot. rate (rad/s) = -0.000101237
  Mean solar day, h     =~17.24           Rocky core mass (Mc/M) =  0.0012        
  GM (km^3/s^2)         = 5793951.256     GM 1-sigma (km^3/s^2)  = +-4.3 
  Equ. grav, ge (m/s^2) =  8.87           Pol. grav, gp (m/s^2)  =   9.19+-0.02
  Visual magnitude V(1,0)= -7.11
  Vis. mag. (opposition)=  +5.52          Obliquity to orbit     = 97.77 deg
  Sidereal orbit period = 84.0120465 y    Sidereal orbit period  = 30685.4 d
  Mean daily motion     = 0.01176904 dg/d Mean orbit velocity    =  6.8 km/s
  Atmos. temp. (1 bar)  =  76+-2 K        Escape speed, km/s     =  21.3           
  Aroche(ice)/Rp        =  2.20           Hill's sphere rad., Rp = 2700
                                 Perihelion   Aphelion    Mean
  Solar Constant (W/m^2)         4.09         3.39        3.71
  Maximum Planetary IR (W/m^2)   0.72         0.55        0.63
  Minimum Planetary IR (W/m^2)   0.72         0.55        0.63
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Thu May  5 15:48:19 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Uranus (799)                    {source: ura116}
Center body name: Sun (10)                        {source: ura116}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2017-Oct-14 00:00:00.0000 TDB
Stop  time      : A.D. 2018-Jan-02 00:00:00.0000 TDB
Step-size       : 60 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
2458083.333333333, A.D. 2017-Nov-25 20:00:00.0000,      69.182970,  2.660844713269063E+09,  1.336929254758270E+09, -2.948825812656748E+07, -3.098785571192023E+00,  5.757803133888498E+00,  6.157685612341135E-02,  9.933460335613956E+03,  2.977976490459212E+09, -1.844969387147962E-01,
2458083.375000000, A.D. 2017-Nov-25 21:00:00.0000,      69.182971,  2.660833557563789E+09,  1.336949982802124E+09, -2.948803647018874E+07, -3.098828630348057E+00,  5.757776809661041E+00,  6.156551472003402E-02,  9.933458120127607E+03,  2.977975826273114E+09, -1.844954695101453E-01,
2458083.416666667, A.D. 2017-Nov-25 22:00:00.0000,      69.182972,  2.660822401701751E+09,  1.336970710751493E+09, -2.948781485524285E+07, -3.098872667191399E+00,  5.757750645779574E+00,  6.155385575836458E-02,  9.933455904654125E+03,  2.977975162090874E+09, -1.844947988024263E-01,
2458083.458333333, A.D. 2017-Nov-25 23:00:00.0000,      69.182973,  2.660811245679384E+09,  1.336991438606988E+09, -2.948759328267789E+07, -3.098917704924123E+00,  5.757724660783626E+00,  6.154198805019195E-02,  9.933453689183831E+03,  2.977974497909588E+09, -1.844949400581247E-01,
2458083.500000000, A.D. 2017-Nov-26 00:00:00.0000,      69.182974,  2.660800089493062E+09,  1.337012166369284E+09, -2.948737175304544E+07, -3.098963753142655E+00,  5.757698870987757E+00,  6.153002308379918E-02,  9.933451473706946E+03,  2.977973833726327E+09, -1.844958956115348E-01,
2458083.541666667, A.D. 2017-Nov-26 01:00:00.0000,      69.182975,  2.660788933139153E+09,  1.337032894039110E+09, -2.948715026649350E+07, -3.099010807536069E+00,  5.757673290199889E+00,  6.151807316500513E-02,  9.933449258213737E+03,  2.977973169538173E+09, -1.844976565036321E-01,
2458083.583333333, A.D. 2017-Nov-26 02:00:00.0000,      69.182976,  2.660777776614062E+09,  1.337053621617238E+09, -2.948692882276708E+07, -3.099058849865006E+00,  5.757647929480059E+00,  6.150624951319505E-02,  9.933447042694645E+03,  2.977972505342257E+09, -1.845002025530939E-01,
2458083.625000000, A.D. 2017-Nov-26 03:00:00.0000,      69.182977,  2.660766619914287E+09,  1.337074349104476E+09, -2.948670742121542E+07, -3.099107848226379E+00,  5.757622796945842E+00,  6.149466035549800E-02,  9.933444827140413E+03,  2.977971841135809E+09, -1.845035026617287E-01,
2458083.666666667, A.D. 2017-Nov-26 04:00:00.0000,      69.182977,  2.660755463036462E+09,  1.337095076501656E+09, -2.948648606080681E+07, -3.099157757601428E+00,  5.757597897629588E+00,  6.148340906292127E-02,  9.933442611542228E+03,  2.977971176916183E+09, -1.845075153502040E-01,
2458083.708333333, A.D. 2017-Nov-26 05:00:00.0000,      69.182978,  2.660744305977407E+09,  1.337115803809621E+09, -2.948626474014843E+07, -3.099208520676867E+00,  5.757573233391396E+00,  6.147259237168257E-02,  9.933440395891828E+03,  2.977970512680904E+09, -1.845121895135942E-01,
2458083.750000000, A.D. 2017-Nov-26 06:00:00.0000,      69.182979,  2.660733148734170E+09,  1.337136531029217E+09, -2.948604345751381E+07, -3.099260068921482E+00,  5.757548802890512E+00,  6.146229873128650E-02,  9.933438180181627E+03,  2.977969848427697E+09, -1.845174653801819E-01,
2458083.791666667, A.D. 2017-Nov-26 07:00:00.0000,      69.182980,  2.660721991304062E+09,  1.337157258161277E+09, -2.948582221087497E+07, -3.099312323893535E+00,  5.757524601616314E+00,  6.145260681805675E-02,  9.933435964404789E+03,  2.977969184154512E+09, -1.845232756513229E-01,
2458083.833333333, A.D. 2017-Nov-26 08:00:00.0000,      69.182981,  2.660710833684694E+09,  1.337177985206615E+09, -2.948560099794090E+07, -3.099365198748095E+00,  5.757500621978713E+00,  6.144358424896712E-02,  9.933433748555339E+03,  2.977968519859559E+09, -1.845295467952113E-01,
2458083.875000000, A.D. 2017-Nov-26 09:00:00.0000,      69.182982,  2.660699675874000E+09,  1.337198712166009E+09, -2.948537981619805E+07, -3.099418599907954E+00,  5.757476853456319E+00,  6.143528652570041E-02,  9.933431532628203E+03,  2.977967855541316E+09, -1.845362004631095E-01,
2458083.916666667, A.D. 2017-Nov-26 10:00:00.0000,      69.182983,  2.660688517870261E+09,  1.337219439040197E+09, -2.948515866295648E+07, -3.099472428857600E+00,  5.757453282799299E+00,  6.142775623320373E-02,  9.933429316619280E+03,  2.977967191198554E+09, -1.845431549934255E-01,
2458083.958333333, A.D. 2017-Nov-26 11:00:00.0000,      69.182984,  2.660677359672120E+09,  1.337240165829864E+09, -2.948493753539681E+07, -3.099526584016476E+00,  5.757429894282600E+00,  6.142102251050163E-02,  9.933427100525454E+03,  2.977966526830339E+09, -1.845503269666592E-01,
2458084.000000000, A.D. 2017-Nov-26 12:00:00.0000,      69.182985,  2.660666201278588E+09,  1.337260892535633E+09, -2.948471643061936E+07, -3.099580962646036E+00,  5.757406670003932E+00,  6.141510080457380E-02,  9.933424884344620E+03,  2.977965862436039E+09, -1.845576327731917E-01,
2458084.041666667, A.D. 2017-Nov-26 13:00:00.0000,      69.182986,  2.660655042689044E+09,  1.337281619158062E+09, -2.948449534569395E+07, -3.099635462744629E+00,  5.757383590219912E+00,  6.140999291071036E-02,  9.933422668075667E+03,  2.977965198015322E+09, -1.845649901558307E-01,
2458084.083333333, A.D. 2017-Nov-26 14:00:00.0000,      69.182987,  2.660643883903230E+09,  1.337302345697631E+09, -2.948427427770728E+07, -3.099689984885212E+00,  5.757360633712829E+00,  6.140568729519691E-02,  9.933420451718448E+03,  2.977964533568144E+09, -1.845723196902591E-01,
2458084.125000000, A.D. 2017-Nov-26 15:00:00.0000,      69.182988,  2.660632724921240E+09,  1.337323072154745E+09, -2.948405322381127E+07, -3.099744433953175E+00,  5.757337778179850E+00,  6.140215968868912E-02,  9.933418235273764E+03,  2.977963869094744E+09, -1.845795461687864E-01,
2458084.166666667, A.D. 2017-Nov-26 16:00:00.0000,      69.182989,  2.660621565743500E+09,  1.337343798529727E+09, -2.948383218126667E+07, -3.099798720745211E+00,  5.757315000635982E+00,  6.139937393136119E-02,  9.933416018743270E+03,  2.977963204595618E+09, -1.845865998561894E-01,
2458084.208333333, A.D. 2017-Nov-26 17:00:00.0000,      69.182990,  2.660610406370744E+09,  1.337364524822816E+09, -2.948361114748478E+07, -3.099852763394890E+00,  5.757292277821937E+00,  6.139728304413072E-02,  9.933413802129433E+03,  2.977962540071508E+09, -1.845934175907191E-01,
2458084.250000000, A.D. 2017-Nov-26 18:00:00.0000,      69.182991,  2.660599246803985E+09,  1.337385251034166E+09, -2.948339012006265E+07, -3.099906488596418E+00,  5.757269586607959E+00,  6.139583049419306E-02,  9.933411585435422E+03,  2.977961875523362E+09, -1.845999437084657E-01,
2458084.291666667, A.D. 2017-Nov-26 19:00:00.0000,      69.182992,  2.660588087044484E+09,  1.337405977163850E+09, -2.948316909681642E+07, -3.099959832604628E+00,  5.757246904385022E+00,  6.139495161793951E-02,  9.933409368665039E+03,  2.977961210952320E+09, -1.846061307749958E-01,
2458084.333333333, A.D. 2017-Nov-26 20:00:00.0000,      69.182993,  2.660576927093712E+09,  1.337426703211862E+09, -2.948294807580775E+07, -3.100012741996440E+00,  5.757224209435194E+00,  6.139457516029445E-02,  9.933407151822594E+03,  2.977960546359674E+09, -1.846119401143335E-01,
